EnvironmentSatisfaction,JobSatisfaction,Age,Attrition,BusinessTravel,MonthlyIncome,TotalWorkingYears,YearsAtCompany,YearsWithCurrManager,WorkingHours
4,2,46,0,1,23400,26,11,8,7
3,1,34,0,1,74910,4,3,2,9
4,2,51,0,2,105270,31,29,10,11
4,4,59,0,1,165950,25,9,4,7
3,2,34,0,2,88340,15,11,10,7
4,3,28,0,2,55770,5,4,2,10
3,1,44,0,1,47070,26,25,13,8
3,2,34,0,2,24000,14,10,8,8
3,3,35,0,1,98240,4,3,2,11
2,2,42,0,1,64470,18,1,0,9
4,4,43,0,1,195020,23,21,17,6
3,2,36,0,1,27250,18,16,12,11
1,4,44,1,1,62720,10,10,5,6
4,4,28,0,2,21270,2,2,2,10
2,3,51,0,2,182000,8,7,7,7
3,3,30,0,0,20960,10,8,7,10
2,3,29,1,1,28860,10,7,7,8
4,1,28,0,1,20330,5,3,2,7
4,2,25,0,1,36220,2,2,1,8
3,4,32,0,1,42330,10,10,8,7
3,2,45,0,2,36810,22,0,0,6
3,2,39,0,1,54600,21,19,2,9
1,3,58,0,1,21870,2,2,2,6
4,3,32,1,1,96020,10,10,1,7
3,1,39,1,1,28360,6,5,3,8
1,4,30,0,1,40890,10,9,7,6
4,3,36,0,1,166270,10,7,7,7
4,1,46,0,1,26190,10,7,7,8
3,4,28,0,0,56790,10,9,5,8
4,1,50,0,1,154020,25,3,2,10
4,2,40,1,1,59850,9,5,0,10
2,2,52,1,1,25790,10,8,7,10
2,1,30,0,1,30410,9,9,8,11
1,3,39,0,1,34470,9,8,7,6
4,3,31,0,0,195130,10,10,6,10
3,2,41,0,0,27730,19,19,9,8
4,2,31,1,2,71040,3,3,2,9
1,1,44,1,1,63220,10,3,2,6
3,3,42,0,0,20830,21,20,10,10
4,3,55,0,1,83810,23,19,11,7
4,2,56,0,1,26910,36,7,7,8
3,3,40,0,0,42860,6,4,0,8
4,4,34,0,1,26590,10,9,6,8
3,4,40,0,1,94340,9,9,8,6
3,1,41,0,2,55610,10,9,7,8
3,3,35,0,2,66460,9,9,1,9
3,2,51,0,1,77250,33,33,10,10
2,1,38,0,1,107250,11,7,7,7
3,1,34,0,1,88470,10,10,6,7
4,4,25,0,1,20450,7,3,2,6
3,1,58,1,1,10090,31,10,9,8
2,2,40,0,1,33480,7,4,3,6
1,1,36,0,2,12810,17,15,13,6
4,4,48,0,1,28190,11,10,8,8
3,4,27,0,1,48510,5,1,0,7
4,2,51,0,1,40280,29,5,3,7
4,4,18,0,0,27200,0,0,0,8
4,4,35,0,1,81200,10,9,0,7
4,4,27,0,2,46470,8,6,0,8
1,3,55,1,1,46800,24,19,8,9
4,2,56,0,1,32210,33,19,9,10
1,3,34,0,0,86210,5,5,0,7
2,3,40,0,1,45770,15,12,8,7
2,3,34,0,1,45530,10,8,7,7
3,4,31,1,2,53960,3,1,0,8
4,3,35,1,2,67960,5,4,2,9
4,3,38,0,2,76250,4,4,3,6
3,4,34,0,1,74120,14,14,11,8
3,1,28,0,1,111590,5,5,4,7
4,3,31,1,1,49600,10,10,7,11
1,4,39,0,1,104750,8,5,4,11
2,2,51,0,2,148140,14,4,2,7
4,4,41,0,2,191410,12,6,3,11
3,3,37,0,1,54050,8,6,3,10
2,4,33,0,2,87930,8,5,2,8
3,2,32,0,1,191890,4,3,2,10
3,3,39,0,0,38750,13,6,5,7
1,3,25,0,1,22160,6,3,2,7
4,3,52,0,2,117130,24,5,2,9
1,3,43,0,1,78610,20,20,8,10
4,4,27,0,1,37080,6,6,4,10
4,3,27,1,1,137700,8,8,7,10
1,4,26,0,1,53040,5,4,1,6
3,1,42,0,1,26420,21,20,9,6
3,1,52,0,1,27590,12,5,4,7
1,3,37,0,1,68040,8,3,2,7
3,4,35,0,2,61420,10,2,2,8
1,4,25,0,1,25000,7,3,2,8
3,1,26,0,1,63890,8,7,7,7
2,1,29,0,1,111030,10,10,9,7
1,1,49,1,2,23420,20,4,3,7
3,4,29,1,2,68110,9,8,7,8
4,4,54,0,1,22970,29,20,7,6
4,1,58,0,1,24500,32,9,5,11
2,4,55,0,1,50930,31,7,0,8
1,2,36,0,1,53090,15,5,1,9
2,3,31,1,2,30570,1,1,0,8
4,1,30,0,1,51210,8,3,2,8
1,2,31,0,1,168560,9,3,0,7
4,1,34,0,2,26860,10,4,3,7
1,2,31,1,1,61800,1,1,0,8
2,1,27,0,1,66320,6,5,4,8
1,4,36,0,1,35050,10,10,8,7
3,1,36,0,1,63970,11,3,2,8
1,4,47,0,1,62740,17,6,2,8
1,1,25,1,1,198590,6,3,2,7
3,3,37,0,0,75870,7,6,3,8
1,1,56,0,1,42580,5,3,0,7
1,3,47,0,1,43640,26,20,6,7
4,3,24,0,1,43350,5,5,3,10
4,4,32,0,1,53260,7,4,3,8
4,2,34,0,1,32800,7,5,2,6
2,3,41,0,1,54850,7,4,3,11
3,3,40,0,0,43420,11,8,7,6
1,4,31,0,1,27820,13,13,9,7
1,4,46,1,1,59800,28,7,3,7
1,1,39,1,0,43810,11,1,0,10
3,2,31,1,2,25720,10,10,7,7
2,1,45,0,1,38330,24,7,7,10
4,2,31,0,1,42440,8,3,2,7
2,4,31,1,2,65000,7,2,2,11
2,4,45,0,1,184300,10,3,2,10
3,1,48,0,1,16010,15,2,2,7
1,3,34,1,1,26940,2,2,2,7
4,2,40,0,0,31490,16,9,8,8
4,1,28,0,1,176390,6,5,3,7
3,3,44,0,0,23190,7,5,3,7
4,2,53,0,1,116910,35,9,8,7
1,3,49,0,1,53240,20,3,2,7
3,3,40,0,1,167520,8,3,2,7
4,2,44,0,1,52280,6,5,3,7
4,1,33,0,2,27000,5,4,3,7
4,1,34,0,1,192460,15,13,12,7
4,3,30,0,1,25060,4,2,2,6
1,4,42,0,2,60620,12,12,8,7
1,3,44,0,2,43820,11,1,0,8
3,3,30,0,0,21430,1,1,0,6
2,3,57,0,1,61620,13,12,8,8
3,2,49,0,1,50940,29,8,7,7
2,1,34,0,2,68770,16,14,9,6
1,3,28,1,2,22740,5,3,2,7
1,2,29,1,2,44340,7,5,0,8
1,2,34,1,1,62880,16,15,10,9
4,3,35,0,1,25530,1,1,0,7
2,1,24,1,2,76540,4,0,0,8
4,2,24,0,0,51600,1,1,0,8
2,3,44,0,2,171590,16,2,2,11
3,3,29,0,1,128080,10,10,4,7
3,3,30,0,1,102210,6,5,3,6
4,3,55,0,1,47790,4,3,2,11
1,2,33,0,1,37370,8,5,2,8
3,3,47,0,1,23660,11,5,2,11
3,1,28,1,2,17060,8,0,0,8
1,3,28,0,1,163070,1,1,0,6
3,1,28,0,2,59330,5,4,3,7
3,1,49,0,1,34240,10,3,2,6
4,2,29,0,2,40370,4,3,2,7
3,2,28,0,1,25590,8,8,7,6
4,3,33,0,1,62010,14,0,0,8
3,4,32,0,1,44030,10,5,0,8
2,4,54,0,2,37610,26,14,12,7
1,1,29,1,1,109340,11,9,7,7
4,1,44,0,1,107610,24,20,17,8
2,2,39,0,1,51750,9,2,2,7
3,2,46,0,1,138260,23,13,1,7
4,2,35,0,1,63340,11,11,3,6
1,3,23,0,1,49360,5,4,2,8
4,1,40,1,1,47750,15,5,0,8
4,3,34,0,1,28180,10,10,6,10
4,3,31,1,2,25150,7,7,7,6
3,4,50,0,2,23420,32,32,9,10
2,3,34,0,1,41940,12,11,7,10
3,2,42,0,1,106850,4,1,0,7
1,4,37,0,1,20220,10,10,7,8
3,1,29,0,1,23140,9,7,7,6
4,2,33,0,1,42560,5,5,2,7
4,4,45,0,1,35800,8,5,3,6
4,4,42,0,2,31620,24,20,9,8
1,1,40,0,1,65240,9,8,1,7
2,3,33,0,1,28990,15,15,7,11
3,4,40,0,1,52310,21,21,7,9
3,1,24,0,1,23560,2,1,0,6
4,4,40,0,0,28000,8,2,2,9
1,2,45,0,1,118360,10,10,7,7
2,3,35,0,1,109030,6,5,2,8
4,2,32,0,1,29730,12,7,5,8
3,4,36,0,1,142750,7,3,2,9
3,3,48,0,1,55620,18,8,7,8
3,3,29,0,1,45370,5,1,0,8
1,1,33,0,1,76420,8,2,2,7
2,1,30,1,1,179240,10,10,7,7
3,3,38,0,2,52040,10,6,2,7
4,1,35,0,1,22770,3,3,2,7
3,2,30,0,1,27950,9,4,3,7
1,1,35,1,1,25320,1,1,0,10
3,4,53,1,1,25590,34,33,9,7
3,2,38,1,1,49080,7,5,4,8
4,1,32,0,0,23800,9,6,2,7
3,1,48,0,1,47650,10,8,6,7
1,4,34,0,1,20440,1,1,0,8
3,4,55,0,1,26930,36,36,13,6
2,3,34,0,1,65860,9,2,1,6
1,4,26,0,1,32940,1,1,0,8
3,2,38,0,1,41710,10,9,7,7
2,2,38,0,1,27780,8,3,2,7
2,3,36,0,1,23770,15,1,0,7
2,1,29,0,1,24040,10,10,5,8
1,3,35,0,1,23180,10,5,4,9
4,3,39,0,1,20080,11,7,6,8
1,4,29,0,2,62440,6,6,3,7
3,3,50,0,1,27990,27,1,0,10
4,3,23,0,1,105520,4,2,2,7
1,1,36,0,2,23290,9,3,2,9
4,4,42,0,1,40140,24,1,1,6
2,3,35,0,1,74030,10,10,8,7
4,3,34,0,2,22590,8,8,7,6
4,1,40,0,1,69320,5,5,2,7
4,2,43,0,1,46780,8,6,2,7
3,4,35,0,1,135820,1,1,1,7
4,1,46,0,1,23320,27,26,12,7
3,2,28,1,1,24130,1,1,0,9
2,3,22,0,0,97050,4,4,3,9
2,3,50,0,2,42940,32,30,13,10
2,4,32,0,1,47210,6,3,2,6
2,4,44,0,1,25190,23,22,10,9
2,2,30,0,1,21210,6,6,1,7
3,1,45,0,1,29730,10,10,4,9
1,1,45,0,0,58550,10,10,5,8
4,1,31,0,2,36170,10,5,3,7
3,3,36,0,1,67250,7,3,1,11
3,4,34,0,2,103250,9,9,2,6
3,1,49,0,1,69490,10,9,4,8
2,1,39,0,1,106090,10,7,7,7
4,1,27,0,1,44470,7,7,7,6
2,1,35,0,1,21570,16,16,10,8
2,1,28,0,1,46010,6,5,0,8
3,4,21,0,1,170990,3,2,2,8
2,4,18,1,2,24790,0,0,0,9
4,3,47,0,1,148520,27,5,0,6
3,3,39,0,1,72640,11,10,7,7
1,3,40,0,1,56660,18,18,12,8
3,3,35,0,0,78230,15,14,9,6
3,3,37,0,1,78800,9,4,2,8
1,3,39,0,2,131940,10,9,8,7
4,4,45,0,1,50670,10,10,9,8
4,3,38,0,1,50790,10,5,2,9
4,1,35,1,1,23210,15,13,0,6
2,2,37,0,1,174440,8,8,7,8
3,4,40,0,1,24040,18,4,3,9
1,4,44,0,2,34520,14,10,2,9
3,4,48,0,2,22700,23,2,2,7
3,4,35,1,1,173990,7,2,2,11
1,4,24,0,2,54880,6,6,3,9
2,3,27,0,1,194190,5,3,2,7
4,4,27,0,2,28110,6,4,2,7
1,1,40,1,1,36330,10,4,3,11
3,3,29,0,1,41630,8,5,4,7
2,1,36,0,1,21320,9,3,2,8
4,3,25,0,2,139730,7,7,7,6
4,2,39,0,1,26840,7,5,0,7
1,2,49,0,1,108450,27,4,2,8
4,1,50,0,1,43770,19,14,11,8
3,3,20,0,1,37430,2,2,2,7
4,2,34,0,1,41480,11,11,9,8
1,2,36,0,1,10510,15,4,3,6
3,3,49,0,1,107390,30,15,12,9
4,3,36,0,0,103880,4,3,2,8
4,1,36,0,1,114160,13,5,4,7
2,3,54,0,1,26000,36,10,7,8
3,3,43,0,1,24220,14,14,11,8
4,4,35,1,2,54720,13,11,7,8
4,4,38,0,2,24510,19,13,9,7
1,2,29,0,1,42400,10,10,9,11
4,4,33,0,1,109990,6,6,4,6
4,2,32,0,1,50030,10,9,6,7
1,4,31,0,1,127420,10,10,2,8
4,1,49,0,1,42270,17,2,2,10
4,2,38,0,2,39170,4,4,3,8
2,2,47,0,1,183030,29,3,2,7
3,3,49,0,1,23800,23,8,0,7
4,3,41,0,1,137260,21,2,2,11
4,1,20,0,1,47770,2,2,2,8
3,4,33,0,0,63850,7,6,2,10
1,3,36,0,1,199730,10,3,2,6
3,4,44,0,1,68610,8,2,2,8
4,3,23,1,1,49690,5,5,2,8
4,3,38,0,1,198450,7,0,0,8
2,4,53,0,1,133200,11,4,2,8
4,3,48,1,2,63470,19,9,7,10
4,2,32,1,1,27430,1,1,0,8
4,4,26,0,0,108800,7,7,7,8
1,2,55,0,1,23420,8,4,2,8
2,4,34,0,1,176500,15,15,13,8
3,4,60,0,1,40250,19,1,0,6
2,2,33,0,1,97250,14,14,13,8
3,4,37,0,2,119040,6,6,3,7
2,4,34,0,1,21770,10,10,7,7
3,4,23,1,1,75250,3,3,2,10
3,4,44,0,1,48340,9,8,7,9
1,4,35,0,2,20420,6,5,4,8
4,4,43,0,1,22200,10,10,8,8
3,3,24,0,1,10520,5,5,4,7
4,3,41,0,1,28210,10,10,7,7
4,3,29,0,1,192370,9,5,2,8
3,4,36,0,1,41070,17,13,7,6
3,3,45,0,0,83960,25,23,4,6
4,3,24,1,1,20070,1,1,0,7
3,3,47,1,2,196270,25,23,10,7
4,3,26,0,1,106860,3,3,2,8
4,2,45,0,1,29420,21,21,6,6
1,3,32,0,2,88580,10,5,3,7
2,3,31,0,1,167560,6,5,3,7
3,2,41,0,0,107980,10,3,2,8
2,1,40,0,1,23230,18,1,0,10
2,1,24,0,1,14160,6,6,2,6
3,2,46,0,1,46150,19,10,9,8
4,3,35,0,1,24610,17,7,7,7
2,4,30,0,1,87220,10,10,8,7
3,2,47,0,0,39550,4,1,0,8
3,4,46,0,1,99570,13,10,3,10
2,1,36,1,1,33760,16,2,2,10
1,2,32,1,1,88230,10,0,0,7
3,2,23,0,1,103220,3,3,2,6
4,4,31,0,2,46210,9,5,4,7
4,4,39,0,0,109760,9,9,8,11
4,3,32,0,1,36600,10,4,2,8
2,2,40,0,1,104820,21,21,8,8
3,3,45,0,1,71190,9,5,3,8
4,1,30,0,2,95820,10,9,7,6
1,4,24,0,2,45080,3,2,1,6
3,4,30,1,2,22070,6,4,2,7
1,3,31,0,1,77560,6,5,2,8
3,4,27,0,1,66940,6,6,4,6
2,2,29,1,1,36910,2,2,2,7
4,3,29,0,2,23770,10,3,2,9
3,1,30,0,1,23130,12,7,7,8
4,4,34,0,1,176650,6,5,2,10
4,2,33,0,0,25960,13,11,7,7
4,4,49,0,1,47280,8,5,4,8
1,1,33,1,1,43020,11,0,0,8
3,2,38,0,2,29790,9,6,5,8
1,3,31,1,1,168850,10,1,0,7
4,1,29,0,1,55930,1,1,0,6
3,3,30,0,1,104450,10,7,7,7
2,2,32,0,0,87400,12,7,7,6
2,4,38,0,1,25140,15,1,0,9
3,3,43,1,2,76550,6,1,0,9
2,2,42,0,1,174650,7,5,4,7
3,1,55,0,1,73510,34,1,0,8
4,2,33,0,0,108200,11,9,7,7
3,1,41,0,1,121690,5,5,4,7
4,3,34,0,0,196260,15,15,7,8
1,3,53,0,0,20700,27,3,2,8
2,4,43,0,1,67820,10,9,8,6
4,4,34,0,1,77790,6,2,2,8
2,2,21,1,1,27910,1,1,0,8
4,3,38,0,1,32010,5,5,4,7
3,1,22,1,1,49680,1,1,0,9
1,4,31,0,1,131200,13,12,7,7
1,3,51,0,1,40330,15,2,2,7
2,2,37,0,1,32910,5,5,3,8
3,4,46,0,1,42720,24,2,2,10
4,1,36,0,1,50560,15,12,7,10
3,2,44,1,2,28440,6,5,3,9
3,2,37,0,1,27030,19,10,7,6
3,4,35,1,1,19040,10,10,7,8
4,1,33,0,1,82240,14,10,6,8
3,4,28,0,1,47660,5,5,3,7
3,3,39,0,1,26100,9,4,2,7
2,2,46,0,0,57310,6,2,2,7
3,1,40,0,1,25390,7,4,2,7
2,1,42,0,1,57140,10,0,0,7
2,4,35,0,0,43230,15,7,7,7
1,2,38,0,0,73360,13,11,8,8
4,1,34,1,2,134990,11,7,7,8
4,1,37,1,1,137580,10,10,8,7
3,4,39,0,2,51550,7,2,2,6
1,3,43,0,0,22580,7,3,2,7
2,2,41,0,1,35970,11,3,2,8
3,3,41,0,1,25150,23,22,5,11
1,3,30,0,1,44200,9,7,2,7
4,2,26,1,1,65780,6,5,4,9
4,2,46,1,1,44220,13,9,7,8
3,4,40,0,1,102740,12,5,3,7
2,3,34,0,1,53430,10,10,8,7
2,2,58,0,0,23760,37,16,14,7
2,3,35,0,1,53460,6,5,3,7
3,2,47,0,1,28270,28,22,10,11
2,1,40,0,1,199430,15,7,7,7
4,4,54,0,1,31310,14,7,7,7
1,1,31,0,2,25520,9,3,2,8
3,1,28,0,1,44770,3,3,2,7
2,4,38,0,1,64740,20,4,3,10
3,4,26,0,1,30330,5,5,2,6
1,3,58,0,2,29360,23,2,2,10
2,3,18,0,0,186060,0,0,0,8
4,1,31,1,1,21680,2,1,0,6
1,1,29,1,1,28530,4,2,0,9
3,3,45,0,0,170480,10,8,7,7
4,2,36,0,1,22900,15,1,0,11
1,4,43,0,2,36000,7,7,7,7
4,4,27,0,2,21070,6,5,2,10
4,4,29,0,2,41150,11,11,10,8
4,4,32,0,2,43270,4,0,0,8
3,3,42,0,0,178560,10,6,3,7
2,3,47,0,1,31960,7,2,0,6
4,4,46,0,1,190810,12,9,7,7
3,4,28,0,0,89660,3,3,2,8
4,3,29,0,1,22100,11,7,6,8
4,3,42,0,1,45390,8,0,0,7
3,2,32,1,1,27410,7,2,2,10
1,1,46,0,1,34910,25,19,8,8
2,3,27,0,1,45410,9,9,8,7
4,2,29,0,1,26780,1,1,0,8
1,3,43,0,1,73790,21,16,14,7
4,2,48,0,1,62720,29,22,9,6
4,4,29,1,2,52200,1,1,0,9
3,2,46,1,1,27430,14,8,7,8
4,1,27,0,2,49980,8,7,3,8
3,4,39,0,1,102520,7,2,2,7
2,4,55,0,1,27810,19,5,4,6
2,2,28,0,1,68520,1,1,0,7
2,4,30,1,1,49500,1,1,0,8
4,2,22,1,1,35790,1,1,0,11
2,3,36,0,1,131910,10,10,7,9
2,3,31,0,1,103770,10,10,2,8
3,4,34,0,1,22350,9,5,0,8
4,1,29,0,1,105020,11,3,2,7
4,1,37,0,1,20110,16,5,4,9
4,2,35,0,1,18590,4,3,2,11
2,4,45,0,1,37600,10,9,8,7
2,4,36,0,2,177790,10,10,8,6
1,1,40,0,1,68330,22,19,16,7
2,3,26,0,1,68120,1,1,0,9
1,3,27,0,1,51710,9,8,7,8
4,4,48,0,2,197400,24,22,7,8
2,1,44,0,1,187110,10,2,2,7
4,1,34,1,0,36920,5,5,0,10
1,4,56,1,1,25590,5,4,0,7
3,2,36,0,1,25170,12,4,3,7
3,2,41,0,1,66230,14,5,4,6
3,1,42,0,1,182650,18,13,7,7
3,4,31,0,1,161240,8,5,4,8
4,4,34,0,1,25850,9,4,1,9
1,3,31,0,1,182130,4,2,2,7
3,4,26,0,2,83800,8,7,7,6
2,3,45,0,2,29940,12,4,3,8
2,3,33,0,1,12230,10,10,9,6
3,4,28,0,2,11180,7,7,7,11
3,1,29,1,2,28750,1,1,0,7
1,3,39,0,0,188240,10,3,2,6
2,2,27,0,1,135770,6,5,2,7
3,4,34,0,2,26250,16,15,11,9
4,3,28,1,1,187890,6,2,2,10
3,2,47,0,0,45380,16,8,7,6
4,1,56,0,1,198470,6,0,0,8
1,1,39,0,1,105120,10,10,9,7
4,2,38,0,2,44440,20,20,7,11
4,4,58,0,1,21540,29,1,0,10
1,3,32,1,2,191900,8,4,3,10
2,4,38,0,1,44900,10,5,3,8
2,4,49,0,2,35060,28,5,3,6
2,4,42,0,1,23720,14,0,0,9
1,2,27,1,2,102310,1,1,0,7
2,1,35,0,1,54100,6,5,4,7
3,3,28,0,0,79780,5,5,4,7
3,1,31,0,0,38670,4,4,3,10
1,2,36,0,0,28380,5,5,2,7
1,4,34,0,1,46950,14,14,1,6
4,3,34,0,1,33390,9,8,1,7
3,1,26,0,1,20800,8,7,6,7
1,1,29,0,1,20960,6,5,2,8
3,4,32,0,0,62090,9,5,2,7
4,1,31,0,2,180610,10,10,7,7
3,4,28,1,1,171230,6,4,3,6
1,1,38,0,1,23720,20,1,0,8
3,4,35,0,1,48830,10,10,9,9
4,4,27,0,1,39040,7,7,7,8
4,4,32,0,1,46270,8,1,0,8
1,4,31,1,2,70940,10,10,8,10
1,1,53,1,1,34230,15,2,2,11
1,3,54,0,1,66740,9,4,3,8
4,3,33,0,2,168800,9,9,8,8
1,3,43,0,1,90940,10,10,9,8
4,2,38,0,2,84460,7,6,2,8
3,2,55,0,1,119160,35,10,4,8
4,4,31,0,1,45340,1,1,0,11
2,1,39,0,1,98520,21,20,10,6
4,3,42,0,0,61510,20,20,7,7
3,3,31,0,0,23020,13,11,8,6
3,1,54,0,1,23620,9,5,4,11
2,3,24,0,1,178610,4,4,2,7
4,4,23,0,1,191870,5,5,4,7
4,3,40,0,2,197170,10,10,4,8
2,2,40,0,1,35440,15,11,10,6
3,2,25,0,1,85000,6,2,2,6
4,2,30,0,1,46610,12,12,7,6
4,3,25,0,1,41030,7,2,2,10
1,3,47,0,1,42490,25,17,11,8
2,3,33,0,0,140260,1,1,0,6
4,2,38,0,1,68930,16,15,8,8
1,3,31,0,1,61250,3,2,2,7
1,3,38,0,2,36690,10,8,7,7
4,1,42,0,1,100080,9,4,2,10
4,4,41,0,1,23870,12,5,0,8
3,2,47,0,0,46390,14,13,12,8
4,3,35,0,1,78980,5,2,2,10
4,3,22,0,1,25340,4,3,2,6
2,3,35,0,1,131420,10,10,8,8
2,4,33,0,1,16110,10,9,1,9
3,2,32,0,1,53630,6,6,1,7
1,4,40,0,1,50710,8,1,0,6
2,2,32,0,1,136950,3,2,2,6
1,4,39,0,1,134020,18,7,7,8
2,3,38,0,1,20290,20,18,11,8
3,4,32,0,1,63770,14,14,7,8
3,4,37,0,1,54290,16,16,8,10
1,3,25,0,1,27850,6,5,4,8
1,4,52,0,0,46140,16,9,0,7
2,4,44,0,1,26100,6,4,2,11
3,1,21,0,1,66870,2,2,2,8
4,4,39,0,0,47240,21,6,3,7
4,1,23,1,2,61790,1,1,0,8
1,4,36,0,1,61200,10,9,4,8
4,2,36,0,2,105960,18,4,2,8
3,3,56,0,0,54670,13,13,9,7
1,4,29,1,1,29960,4,2,2,11
1,3,42,0,1,99980,24,22,14,8
4,3,56,1,1,40780,14,10,8,7
1,2,41,0,1,109200,21,20,10,8
4,3,34,0,1,62320,8,8,7,7
4,4,36,0,0,132470,15,15,11,8
3,2,41,0,1,40810,14,5,4,7
4,1,32,0,1,57690,4,4,2,7
3,4,35,0,1,23940,9,9,7,10
1,4,38,0,1,39040,10,10,9,7
2,3,50,1,2,167990,12,6,1,7
2,3,36,0,1,29500,8,6,0,6
4,3,45,0,1,36290,8,5,1,6
3,3,40,0,1,93620,8,2,2,6
3,3,35,0,2,32290,10,10,2,8
3,3,40,0,1,35780,20,5,2,8
3,4,35,0,1,79880,4,4,1,7
4,2,29,0,1,42840,10,4,3,10
4,1,29,0,1,75530,5,5,4,6
4,1,50,1,1,173280,20,3,0,10
2,4,39,0,1,197010,21,20,6,8
2,1,31,0,0,147320,10,9,7,7
4,3,26,0,1,92780,5,4,0,8
3,4,36,0,2,13590,17,5,3,8
4,1,39,0,1,47790,9,7,7,6
2,2,27,0,1,164220,6,6,3,9
4,2,49,0,2,29960,17,9,8,7
2,3,34,0,1,12610,6,4,2,6
2,4,41,1,1,20990,8,6,5,9
3,2,49,0,2,58100,10,10,7,7
4,3,37,1,1,56470,7,0,0,9
4,3,33,0,2,34200,8,8,0,10
1,2,27,0,1,44000,6,2,2,7
4,4,32,0,2,35000,8,7,6,7
3,1,59,0,1,20660,12,1,0,10
4,3,30,0,1,171690,1,1,0,7
4,3,38,0,2,41620,10,9,8,8
3,3,36,0,1,92040,17,7,7,8
1,2,35,0,1,32940,6,5,3,8
4,3,29,0,1,21270,10,9,8,11
3,3,31,0,1,39750,5,5,3,6
2,4,34,0,1,107930,3,2,2,7
3,3,28,1,1,100960,6,4,3,10
2,1,29,0,1,36460,10,10,8,8
1,2,32,0,1,74460,7,6,5,11
4,4,22,0,0,108510,1,1,0,10
1,4,53,0,1,21090,31,25,7,8
4,4,38,0,1,37220,6,3,2,10
1,3,24,0,0,93800,5,4,3,7
3,1,36,1,1,54860,10,5,3,6
1,2,34,0,1,27420,13,12,11,6
3,4,21,0,1,137570,0,0,0,6
2,1,34,1,1,84630,8,4,3,8
3,3,53,0,1,31620,26,14,8,7
2,1,32,1,2,165980,10,10,7,9
3,2,42,0,1,66510,10,9,2,7
1,4,44,0,1,23450,24,22,17,7
2,1,46,0,1,34200,22,2,1,8
3,4,33,0,1,43730,7,1,0,7
4,4,44,0,1,47590,9,4,3,9
4,3,30,0,1,53010,10,10,8,6
4,4,39,1,1,36730,19,1,0,7
2,4,24,1,1,47680,6,2,0,10
4,3,43,0,1,12740,6,5,4,7
1,3,50,1,1,49000,3,3,2,9
4,4,35,0,1,104660,2,2,2,7
2,1,36,0,1,170070,6,1,0,9
3,1,33,0,2,29090,10,5,3,7
3,4,35,0,1,57650,1,1,0,6
4,1,27,0,1,45990,1,1,0,8
1,3,26,1,1,24040,1,1,1,8
4,3,27,0,2,31720,9,9,7,7
3,4,30,0,2,20330,12,12,7,7
2,3,41,1,1,102090,23,22,8,6
2,3,34,0,0,86200,10,9,7,8
2,2,37,0,1,20640,8,1,0,6
1,4,46,0,2,40350,14,9,8,10
4,4,35,0,1,38380,1,1,1,7
1,3,48,1,1,45910,23,1,0,9
3,3,28,1,1,25610,2,2,2,11
2,1,44,0,1,15630,9,4,3,9
3,1,35,0,0,48980,10,4,3,10
3,4,26,0,1,47890,5,2,0,10
1,4,33,0,2,31800,15,15,12,9
2,1,35,0,2,65490,9,9,8,7
3,1,35,0,1,63880,4,2,2,9
4,4,31,0,1,112440,10,7,7,6
1,3,37,0,1,160320,7,7,7,7
1,4,32,0,1,23620,9,9,8,8
4,4,38,0,2,163280,10,10,9,6
2,3,50,0,1,83760,29,27,8,9
1,1,59,0,1,166060,28,21,9,7
3,3,36,0,1,86060,17,17,8,6
4,3,55,0,1,22720,21,5,2,8
2,2,36,0,2,20180,6,6,3,7
2,1,45,0,1,70830,25,1,0,7
2,1,35,0,2,40840,5,3,2,6
4,3,36,1,1,144110,2,1,0,9
1,3,59,0,2,23080,20,4,3,7
3,2,29,0,1,48410,6,5,4,8
3,2,31,0,1,42850,1,1,0,6
2,2,32,0,1,97150,10,10,9,8
2,4,36,0,1,43200,5,1,0,7
3,4,31,0,1,21320,11,11,8,6
3,1,35,0,1,101240,16,15,8,6
4,1,45,0,1,54730,17,0,0,9
1,3,37,0,1,52070,16,5,2,7
2,2,46,0,1,164370,16,4,2,10
4,4,30,0,1,22960,10,10,0,9
2,3,35,0,1,40690,6,6,4,8
1,4,55,0,1,74410,24,1,0,7
2,4,38,0,0,24300,17,13,9,9
1,2,34,0,1,58780,5,5,3,8
4,4,56,0,1,26440,37,6,2,7
3,1,23,0,1,64390,3,0,0,6
4,4,51,0,1,24510,10,4,3,7
3,4,30,0,1,63920,11,11,8,8
3,4,46,1,1,97140,9,9,7,7
3,2,40,0,2,60770,22,22,11,7
3,4,51,0,1,24500,11,10,0,10
3,2,30,0,1,92500,11,11,7,8
3,1,46,0,2,20740,21,10,5,9
2,3,32,0,1,101690,12,11,7,8
1,3,54,0,1,48550,16,4,3,8
1,3,24,0,1,40870,4,3,2,8
2,3,28,0,0,23670,5,5,4,6
4,3,58,0,1,29720,38,37,8,7
2,2,44,0,0,195860,17,3,2,7
3,1,37,1,1,54840,7,3,2,11
4,1,32,0,1,20610,1,1,0,8
4,4,20,1,2,99240,1,1,0,11
1,3,34,0,1,41980,16,16,10,8
3,4,37,0,0,68150,17,1,0,8
3,4,59,0,0,47230,30,3,2,7
1,2,50,0,2,61420,28,8,7,9
3,3,25,1,1,82370,6,6,3,9
